year, rel_property ,quantile
1780, 0.59 ,sup_99
1810, 0.56 ,sup_99
1870, 0.57 ,sup_99
1900, 0.59 ,sup_99
1910, 0.61 ,sup_99
1920, 0.54 ,sup_99
1925, 0.48 ,sup_99
1930, 0.43 ,sup_99
1935, 0.40 ,sup_99
1940, 0.38 ,sup_99
1945, 0.35 ,sup_99
1950, 0.33 ,sup_99
1955, 0.28 ,sup_99
1960, 0.23 ,sup_99
1965, 0.21 ,sup_99
1970, 0.18 ,sup_99
1975, 0.17 ,sup_99
1980, 0.17 ,sup_99
1985, 0.17 ,sup_99
1990, 0.18 ,sup_99
1995, 0.19 ,sup_99
2000, 0.20 ,sup_99
2005, 0.21 ,sup_99
2010, 0.21 ,sup_99
2015, 0.21 ,sup_99
1780, 0.28 ,90_99
1810, 0.28 ,90_99
1870, 0.30 ,90_99
1900, 0.28 ,90_99
1910, 0.27 ,90_99
1920, 0.33 ,90_99
1925, 0.37 ,90_99
1930, 0.41 ,90_99
1935, 0.43 ,90_99
1940, 0.45 ,90_99
1945, 0.45 ,90_99
1950, 0.44 ,90_99
1955, 0.42 ,90_99
1960, 0.40 ,90_99
1965, 0.38 ,90_99
1970, 0.37 ,90_99
1975, 0.36 ,90_99
1980, 0.36 ,90_99
1985, 0.37 ,90_99
1990, 0.36 ,90_99
1995, 0.35 ,90_99
2000, 0.35 ,90_99
2005, 0.36 ,90_99
2010, 0.36 ,90_99
2015, 0.37 ,90_99
1780, 0.11 ,50_90
1810, 0.14 ,50_90
1870, 0.11 ,50_90
1900, 0.11 ,50_90
1910, 0.11 ,50_90
1920, 0.12 ,50_90
1925, 0.13 ,50_90
1930, 0.15 ,50_90
1935, 0.15 ,50_90
1940, 0.15 ,50_90
1945, 0.18 ,50_90
1950, 0.20 ,50_90
1955, 0.26 ,50_90
1960, 0.32 ,50_90
1965, 0.34 ,50_90
1970, 0.37 ,50_90
1975, 0.38 ,50_90
1980, 0.39 ,50_90
1985, 0.39 ,50_90
1990, 0.38 ,50_90
1995, 0.38 ,50_90
2000, 0.37 ,50_90
2005, 0.37 ,50_90
2010, 0.37 ,50_90
2015, 0.36 ,50_90
1780, 0.02 ,inf_50
1810, 0.02 ,inf_50
1870, 0.02 ,inf_50
1900, 0.01 ,inf_50
1910, 0.01 ,inf_50
1920, 0.01 ,inf_50
1925, 0.01 ,inf_50
1930, 0.02 ,inf_50
1935, 0.02 ,inf_50
1940, 0.02 ,inf_50
1945, 0.02 ,inf_50
1950, 0.03 ,inf_50
1955, 0.04 ,inf_50
1960, 0.05 ,inf_50
1965, 0.07 ,inf_50
1970, 0.08 ,inf_50
1975, 0.08 ,inf_50
1980, 0.08 ,inf_50
1985, 0.08 ,inf_50
1990, 0.08 ,inf_50
1995, 0.08 ,inf_50
2000, 0.07 ,inf_50
2005, 0.07 ,inf_50
2010, 0.06 ,inf_50
2015, 0.06 ,inf_50